Artista,Álbum,Formato,Observações
7 Peles,O Primeiro Evangelho Do 7 Peles,CD,
A-ha,"East Of The Sun, West Of The Moon",CD,
A-ha,Stay On These Roads,CD,
Abske Fides,Disenlightment / ...Apart from the World,CD,
Abske Fides,O Sol Fulmina A Terra,CD,
Absu,Abzu,CD,
Absu,Barathrum: V.I.T.R.I.O.L.,CD,
AC/DC,The Razors Edge,CD,
Accept,Balls To The Wall,CD,
Accept,I'm A Rebel/Breaker,CD,2 CDs
Accept,Restless And Wild,CD,
Ace Frehley,Loaded Deck,CD,
Ad Baculum,Opening The Abyss,CD,
Agios Luciferi,Spiritual Liberation,CD,
Agressor,Towards Beyond,CD,
Agressor,Never Ending Destiny,CD,
Alice In Chains,Alice In Chains,CD,
Alice In Chains,Black Gives Way To Blue,CD,
Alice In Chains,Dirt,CD,
Alice In Chains,Facelift,CD,
Alice In Chains,Jar Of Flies,CD,
Amaran,A World Depraved,CD,
Amen Corner,Darken in Quir Haresete,CD,
America,Greatest Hits,CD,
Anarkhon,Obiasot Dwybat Ptnotun,CD,
Ancient/Arcturus/Dimmu Borgir/Emperor/Immortal,True Kings Of Norway,CD,
Angel Witch,Angel Witch,CD,
Angra,Fireworks,CD,
Angra,Holy Land,CD,
Angra,Rebirth,CD,
Annihilator,Double Live Annihilation,CD,
Anthares,No Limite Da Força,CD,Digipak
Anthares,O Caos Da Razão,CD,
Antimateria,Valo Aikojen Takaa,CD,
Apokalyptic Raids,The Return Of The Satanic Rites,CD,
Ares Wrath,War Bombastic Black Metal,CD,
Armored Saint,Symbol Of Salvation,CD,
Arthanus,Asgard Palace,CD,
Arthanus,King Of Azuris,CD,
Asphyx,Last One On Earth,CD,
Autopsy,"Tourniquets, Hacksaws And Graves",CD,
Bathory,Bathory,CD,Digipak
Bathory,Blood Fire Death,CD,
Bathory,The Return,CD,Digipak
Bathory,Under The Sign Of The Black Mark,CD,
Baton Rouge,Lights Out On The Playground,CD,
Beherit,Drawing Down The Moon,CD,
Belphegor,The Last Supper & Blutsabbath,CD,2 CDs
Belphegor,Totenritual,CD,
Bewitched,At The Gates Of Hell,CD,
Bewitched,Rise Of The Antichrist,CD,
Black Sabbath,Heaven And Hell,CD,
Black Sabbath,Reunion,CD,2 CDs
Black War,Winter Sorrow,CD,Sem a capa traseira
Blasfemador,A Meia Noite Levarei Tua Alma,CD,
Blasfemador,Cosmofobia,CD,
Blasfemador,Na Trilha Dos Senhores Do Horror,CD,
Blasphemy,Fallen Angel Of Doom,CD,
Blasthrash,No Traces Left Behind,CD,
Blind Guardian,Battalions Of Fear,CD,
Blind Guardian,Follow The Blind,CD,
Blind Guardian,Imaginations From The Other Side,CD,
Blind Guardian,Tales From The Twilight World,CD,
Blind Guardian,Tokyo Tales,CD,
Blood Incantation,Hidden History Of The Human Race,CD,
Blood Incantation,Interdimensional Extinction,CD,
Blood Incantation,Starspawn,CD,
Blood Red Throne,Affiliated With The Suffering,CD,
Blood Red Throne,Fit To Kill,CD,
Bode Preto,Inverted Blood,CD,Digipak
Bulldozer,The Exorcism,CD,
Burzum,Burzum/Aske,CD,
Burzum,Det Song Engang Var,CD,
Bywar,Abduction,CD,
Camel,Mirage,CD,
Cannibal Corpse,Evisceration Plague,CD,
Cannibal Corpse,Gallery Of Suicide,CD,
Cannibal Corpse,Gore Obsessed,CD,
Cannibal Corpse,The Wretched Spawn,CD + DVD,Digipak
Cannibal Corpse,Tomb Of The Mutilated,CD,
Cannibal Corpse,Vile,CD,
Cannibal Corpse,Violence Unimagined,CD,
Castifas,Bloodlust And Hate,CD,
Caverna/Velho,Sob O Ciclo De Ouroboros (Split),CD,Digipak
Celtic Frost,Into The Pandemonium,CD,
Celtic Frost,Morbid Tales,CD,
Cemitério,Cemitério,CD,
Cemitério,Oãxiac Odèz,CD,
Centurian,Liber ZarZax,CD,
Cinderella,Long Cold Winter,CD,
Cinderella,Night Songs,CD,
Claustrofobia,Thrasher,CD,
Cruor Cultum,Est Vexator,CD,
Darkthrone,Eternal Hails......,CD,
Darkthrone,Soulside Journey,CD,
Darkthrone,Transilvanian Hunger,CD,
Darkthrone,Under A Funeral Moon,CD,
David Lee Roth,Eat 'Em And Smile,CD,
Death,Human,CD,
Death,Individual Thought Patterns,CD,
Deicide,Insineratehymn,CD,
